DATE,Sales_EUR
2018-10-01,8089465.960000001
2018-11-01,11863001.51
2018-12-01,8736859.39
2019-01-01,10705300.629999999
2019-02-01,10167796.86
2019-03-01,11040544.57
2019-04-01,12317479.75
2019-05-01,12798945.18
2019-06-01,11546452.19
2019-07-01,13421550.83
2019-08-01,11359418.3
2019-09-01,16579668.11
2019-10-01,11382774.45
2019-11-01,13826060.48
2019-12-01,11077603.56
2020-01-01,11699896.34
2020-02-01,10041616.85
2020-03-01,12281515.46
2020-04-01,12008066.85
2020-05-01,10708632.18
2020-06-01,13321842.36
2020-07-01,12774946.290000001
2020-08-01,11373503.08
2020-09-01,15912683.17
2020-10-01,10003848.44
2020-11-01,15021617.790000001
2020-12-01,9755535.99
2021-01-01,3804319.7399999998
2021-02-01,16136114.379999999
2021-03-01,14128552.8
2021-04-01,13461271.93
2021-05-01,10298079.41
2021-06-01,13650393.45
2021-07-01,13288195.239999998
2021-08-01,12385755.66
2021-09-01,15874712.26
2021-10-01,13797043.98
2021-11-01,18686819.85
2021-12-01,12376414.580000002
2022-01-01,13754291.32
2022-02-01,15665217.47
2022-03-01,14320304.55
2022-04-01,11999374.51
