DATE,Sales_EUR
2018-10-01,2499061.1900000004
2018-11-01,8993944.040000001
2018-12-01,6947507.3100000005
2019-01-01,8233205.069999999
2019-02-01,6879250.989999999
2019-03-01,11914313.63
2019-04-01,5714462.4799999995
2019-05-01,11389673.26
2019-06-01,13681879.16
2019-07-01,11145039.030000001
2019-08-01,7645745.289999999
2019-09-01,15018604.629999999
2019-10-01,11542647.469999999
2019-11-01,8104241.69
2019-12-01,13494692.75
2020-01-01,7184359.3100000005
2020-02-01,12424406.63
2020-03-01,9232237.68
2020-04-01,7990825.32
2020-05-01,9872426.57
2020-06-01,15873894.909999998
2020-07-01,5590709.71
2020-08-01,11463705.639999999
2020-09-01,14160091.049999999
2020-10-01,4647204.31
2020-11-01,10164873.57
2020-12-01,8845742.299999999
2021-01-01,1405295.36
2021-02-01,16650952.72
2021-03-01,11102204.58
2021-04-01,7085482.52
2021-05-01,8767595.73
2021-06-01,11687229.03
2021-07-01,8321886.38
2021-08-01,19524640.52
2021-09-01,15629190.799999999
2021-10-01,11472426.01
2021-11-01,9606371.14
2021-12-01,8656479.64
2022-01-01,7731408.33
2022-02-01,7675455.55
2022-03-01,14739187.18
2022-04-01,8884607.530000001
