DATE,Sales_EUR
2018-10-01,5770.0
2018-11-01,17130.0
2018-12-01,0.0
2019-01-01,1686.4
2019-02-01,19196.3
2019-03-01,7535.25
2019-04-01,0.0
2019-05-01,17771.4
2019-06-01,19245.35
2019-07-01,20719.3
2019-08-01,1602.0
2019-09-01,12851.2
2019-10-01,1378.5500000000002
2019-11-01,2571.3
2019-12-01,0.0
2020-01-01,2955.22
2020-02-01,10900.0
2020-03-01,10325.15
2020-04-01,-2851.45
2020-05-01,32670.0
2020-06-01,8756.45
2020-07-01,14793.0
2020-08-01,6919.4
2020-09-01,2219.8
2020-10-01,13799.0
2020-11-01,1750.0
2020-12-01,11772.45
2021-01-01,3028.0
2021-02-01,2966.82
2021-03-01,15818.779999999999
2021-04-01,5629.0
2021-05-01,2183.85
2021-06-01,8266.9
2021-07-01,4133.45
2021-08-01,0.0
2021-09-01,-561.2500000000005
2021-10-01,16534.2
2021-11-01,5951.849999999999
2021-12-01,17427.6
2022-01-01,2820.0
2022-02-01,4410.0
2022-03-01,46100.24
2022-04-01,1846.2
