DATE,Sales_EUR
2018-10-01,36098918.79
2018-11-01,5140760.0
2018-12-01,37889612.120000005
2019-01-01,27728148.35
2019-02-01,34793163.53
2019-03-01,33856803.04
2019-04-01,39688292.010000005
2019-05-01,38897974.29
2019-06-01,39106750.230000004
2019-07-01,37912572.3
2019-08-01,38042677.05
2019-09-01,40602780.63999999
2019-10-01,39012299.19
2019-11-01,37323903.07
2019-12-01,37701509.370000005
2020-01-01,34116651.47
2020-02-01,33505879.26
2020-03-01,39064430.88
2020-04-01,37981531.31999999
2020-05-01,31400212.54
2020-06-01,30896804.07
2020-07-01,35212730.13
2020-08-01,37482085.58
2020-09-01,38879360.2
2020-10-01,41453854.5
2020-11-01,37643611.57
2020-12-01,34816959.18
2021-01-01,27180432.94
2021-02-01,34630522.81
2021-03-01,33476138.64
2021-04-01,41257397.9
2021-05-01,37760015.28
2021-06-01,35801398.47
2021-07-01,37130004.21
2021-08-01,36310817.42
2021-09-01,36278886.58
2021-10-01,44483013.86000001
2021-11-01,34187395.6
2021-12-01,33950069.83
2022-01-01,37942942.06
2022-02-01,36293076.33
2022-03-01,40220407.03
2022-04-01,41053203.120000005
