DATE,Sales_EUR
2018-10-01,369231.6
2018-11-01,473046.95999999996
2018-12-01,999472.6900000002
2019-01-01,598874.1
2019-02-01,542037.52
2019-03-01,735604.23
2019-04-01,277575.12
2019-05-01,315978.77
2019-06-01,282963.19
2019-07-01,725411.99
2019-08-01,206931.16999999998
2019-09-01,499147.73
2019-10-01,581767.8500000001
2019-11-01,181159.2
2019-12-01,913378.8
2020-01-01,-15202.959999999977
2020-02-01,724398.75
2020-03-01,529808.94
2020-04-01,782042.98
2020-05-01,750367.7
2020-06-01,526425.18
2020-07-01,730187.6799999999
2020-08-01,847092.87
2020-09-01,316929.21
2020-10-01,313535.91000000003
2020-11-01,335130.74
2020-12-01,332556.98
2021-01-01,27472.940000000002
2021-02-01,515644.63
2021-03-01,625100.14
2021-04-01,592478.95
2021-05-01,566508.34
2021-06-01,490262.94
2021-07-01,499338.64
2021-08-01,529725.46
2021-09-01,947905.3899999999
2021-10-01,196463.81
2021-11-01,386462.95999999996
2021-12-01,190074.96
2022-01-01,157670.31
2022-02-01,391088.3
2022-03-01,316132.20999999996
2022-04-01,333705.61
