DATE,Sales_EUR
2018-10-01,27666.1
2018-11-01,68180.0
2018-12-01,15655.18
2019-01-01,27198.29
2019-02-01,32638.63
2019-03-01,11890.0
2019-04-01,7488.54
2019-05-01,2550.3100000000004
2019-06-01,34849.21
2019-07-01,43008.350000000006
2019-08-01,22497.6
2019-09-01,19601.050000000003
2019-10-01,65754.55
2019-11-01,43190.76
2019-12-01,26729.760000000002
2020-01-01,19519.59
2020-02-01,13747.169999999998
2020-03-01,23513.59
2020-04-01,30716.11
2020-05-01,3762.8199999999997
2020-06-01,9612.8
2020-07-01,6745.2
2020-08-01,25689.64
2020-09-01,15314.86
2020-10-01,9524.88
2020-11-01,20663.64
2020-12-01,31216.71
2021-01-01,10118.36
2021-02-01,16729.8
2021-03-01,63092.75
2021-04-01,38125.2
2021-05-01,4130.0
2021-06-01,6015.04
2021-07-01,8419.83
2021-08-01,10814.57
2021-09-01,28682.589999999997
2021-10-01,30506.15
2021-11-01,8136.92
2021-12-01,24868.86
2022-01-01,37972.81
2022-02-01,33449.25
2022-03-01,12149.4
2022-04-01,17020.04
