DATE,Sales_EUR
2018-10-01,397760.69
2018-11-01,371322.42
2018-12-01,430100.96
2019-01-01,484173.88
2019-02-01,620031.8
2019-03-01,491643.59
2019-04-01,426221.33999999997
2019-05-01,375671.57
2019-06-01,190721.15
2019-07-01,381274.95999999996
2019-08-01,301973.43
2019-09-01,443349.32
2019-10-01,93226.31999999999
2019-11-01,298011.68
2019-12-01,275968.15
2020-01-01,218623.48
2020-02-01,225262.14
2020-03-01,197670.48
2020-04-01,387939.98000000004
2020-05-01,315488.98
2020-06-01,329430.96
2020-07-01,294293.79
2020-08-01,172952.24
2020-09-01,645058.0
2020-10-01,332603.83999999997
2020-11-01,413558.14
2020-12-01,303249.58999999997
2021-01-01,165265.96999999997
2021-02-01,807758.79
2021-03-01,451955.41000000003
2021-04-01,295958.92
2021-05-01,573707.27
2021-06-01,829442.33
2021-07-01,434669.61
2021-08-01,255407.75
2021-09-01,323380.87
2021-10-01,344985.73
2021-11-01,290506.87
2021-12-01,199188.75
2022-01-01,283630.81
2022-02-01,245306.13
2022-03-01,406399.83
2022-04-01,302057.04
