DATE,Sales_EUR
2018-10-01,3219.32
2018-11-01,1875.9
2018-12-01,0.0
2019-01-01,1487.0
2019-02-01,3234.2799999999997
2019-03-01,13050.61
2019-04-01,9119.65
2019-05-01,4614.08
2019-06-01,4488.09
2019-07-01,1766.4
2019-08-01,6371.5
2019-09-01,13930.26
2019-10-01,555.0
2019-11-01,24181.8
2019-12-01,7611.36
2020-01-01,7647.5
2020-02-01,425.1
2020-03-01,2233.0
2020-04-01,1476.85
2020-05-01,3764.12
2020-06-01,7555.45
2020-07-01,943.3900000000001
2020-08-01,9907.2
2020-09-01,2893.35
2020-10-01,39510.75
2020-11-01,-4358.099999999999
2020-12-01,8606.5
2021-01-01,625.5
2021-02-01,10022.4
2021-03-01,28108.88
2021-04-01,16713.96
2021-05-01,8026.0
2021-06-01,7240.84
2021-07-01,11295.75
2021-08-01,432.0
2021-09-01,9259.2
2021-10-01,937.04
2021-11-01,14035.58
2021-12-01,14935.2
2022-01-01,2064.7
2022-02-01,901.5
2022-03-01,4452.6
2022-04-01,3285.0
